Pin,Cpu Pin name,SOM pin name,Label,GPIO,MMDC,UART,ELCDIF,EPDC,EIM,uSDHC,ENET,ECSPI,SAI,CSI,FTM,KPP,I2C,SIM,CCM,USB,SRC,GPT,ARM_PLATFORM,FLEXCAN,NAND,QSPI,PWM,WDOG,PCIE,XTALOSC,SNVS,SJC,ADC,SDMA,MIPI_CSI2,MIPI_DSI,MQS,Other,Routing for BOARD_InitPins
AC3,GPIO1_IO15,,X1A19,"GPIO1_IO15(GPIO1,gpio_io,15)",,,,,,"SD3_WP(uSDHC3,sd_wp)","ENET2_MDC(ENET2,enet_mdc)",,,,,,,,"CCM_EXT_CLK4(CCM,ccm_ext_clk,4)",,,,,"FLEXCAN2_TX(FLEXCAN2,flexcan_tx)",,,,"WDOG4_B(WDOG4,wdog_b)",,,,,,"SDMA_EXT_EVENT1(SDMA,sdma_ext_event,1)",,,,,"FLEXCAN2_TX(FLEXCAN2,flexcan_tx)"
N27,EPDC1_DATA08,,X1A21,"GPIO2_IO08(GPIO2,gpio_io,08)",,"UART6_RX_DATA(UART6,uart_rx_data)","LCD_DATA08(ELCDIF,lcd_data,08)/LCD_BUSY(ELCDIF,lcd_busy)","EPDC_DATA08(EPDC,epdc_data,08)/EPDC_SDCLK_P(EPDC,epdc_sdclk_p)","EIM_OE(EIM,eim_oe)",,,,,,,,,"SIM1_PORT1_TRXD(SIM1,sim_port1_trxd)",,,,,,,,"QSPI_B_DATA0(QSPI,qspi_b_data,0)",,,,,,,,,,,,,"UART6_RX_DATA(UART6,uart_rx_data)"
N26,EPDC1_DATA09,,X1A22,"GPIO2_IO09(GPIO2,gpio_io,09)",,"UART6_TX_DATA(UART6,uart_tx_data)","LCD_DATA09(ELCDIF,lcd_data,09)/LCD_DATA00(ELCDIF,lcd_data,00)","EPDC_DATA09(EPDC,epdc_data,09)/EPDC_SDLE(EPDC,epdc_sdle)","EIM_RW(EIM,eim_rw)",,,,,,,,,"SIM1_PORT1_CLK(SIM1,sim_port1_clk)",,,,,,,,"QSPI_B_DATA1(QSPI,qspi_b_data,1)",,,,,,,,,,,,,"UART6_TX_DATA(UART6,uart_tx_data)"
V6,GPIO1_IO06,,X1A23,"GPIO1_IO06(GPIO1,gpio_io,06)",,"UART5_RX_DATA(UART5,uart_rx_data)",,,,,,,,,"FLEXTIMER1_CH6(FTM1,flextimer_ch,6)","KEY_ROW4(KPP,key_row,4)","I2C2_SCL(I2C2,i2c_scl)",,,"USB_OTG2_OC(USB,usb_otg2_oc)",,,,,,,,,,,,,,,,,,,"UART5_RX_DATA(UART5,uart_rx_data)"
V7,GPIO1_IO07,,X1A24,"GPIO1_IO07(GPIO1,gpio_io,07)",,"UART5_TX_DATA(UART5,uart_tx_data)",,,,,,,,,"FLEXTIMER1_CH7(FTM1,flextimer_ch,7)","KEY_COL4(KPP,key_col,4)","I2C2_SDA(I2C2,i2c_sda)",,,"USB_OTG2_PWR(USB,usb_otg2_pwr)",,,,,,,,,,,,,,,,,,,"UART5_TX_DATA(UART5,uart_tx_data)"
F3,SAI1_RXD,,X1A26,"GPIO6_IO12(GPIO6,gpio_io,12)",,"UART5_RX_DATA(UART5,uart_rx_data)",,,,,,,"SAI1_RX_DATA(SAI1,sai_rx_data)",,,,,"SIM1_PORT1_TRXD(SIM1,sim_port1_trxd)",,,,,,"FLEXCAN1_RX(FLEXCAN1,flexcan_rx)","NAND_CE1_B(NAND,nand_ce1_b)",,,,,,,,,,,,,,"NAND_CE1_B(NAND,nand_ce1_b)"
F4,SAI1_TXC,,X1A27,"GPIO6_IO13(GPIO6,gpio_io,13)",,"UART5_TX_DATA(UART5,uart_tx_data)",,,,,,,"SAI1_TX_BCLK(SAI1,sai_tx_bclk)",,,,,"SIM1_PORT1_CLK(SIM1,sim_port1_clk)",,,,,,"FLEXCAN1_TX(FLEXCAN1,flexcan_tx)","NAND_CE0_B(NAND,nand_ce0_b)",,,,,,,,,,,,,,"NAND_CE0_B(NAND,nand_ce0_b)"
F5,SAI1_TXFS,,X1A28,"GPIO6_IO14(GPIO6,gpio_io,14)",,"UART5_CTS_B(UART5,uart_cts_b)",,,,,,,"SAI1_TX_SYNC(SAI1,sai_tx_sync)",,,,,"SIM1_PORT1_RST_B(SIM1,sim_port1_rst_b)",,,,,,"FLEXCAN2_RX(FLEXCAN2,flexcan_rx)","NAND_DQS(NAND,nand_dqs)",,,,,,,,,,,,,,"NAND_DQS(NAND,nand_dqs)"
G5,SAI1_TXD,,X1A29,"GPIO6_IO15(GPIO6,gpio_io,15)",,"UART5_RTS_B(UART5,uart_rts_b)",,,,,,,"SAI1_TX_DATA(SAI1,sai_tx_data)",,,,,"SIM1_PORT1_SVEN(SIM1,sim_port1_sven)",,,"SRC_SYSTEM_RESET(SRC,src_system_reset)",,,"FLEXCAN2_TX(FLEXCAN2,flexcan_tx)","NAND_READY(NAND,nand_ready)",,,,,,,,,,,,,,"NAND_READY(NAND,nand_ready)"
C4,SAI1_RXFS,,X1A30,"GPIO6_IO16(GPIO6,gpio_io,16)",,,,,,,,,"SAI1_RX_SYNC(SAI1,sai_rx_sync)/SAI2_RX_SYNC(SAI2,sai_rx_sync)",,,,"I2C4_SCL(I2C4,i2c_scl)","SIM1_PORT1_PD(SIM1,sim_port1_pd)",,,"SRC_CA7_RESET0_B(SRC,src_ca7_reset0_b)",,,,"NAND_CE2_B(NAND,nand_ce2_b)",,,,,,,,,,,,"MQS_RIGHT(MQS,mqs_right)",,"NAND_CE2_B(NAND,nand_ce2_b)"
G4,SAI1_RXC,,X1A31,"GPIO6_IO17(GPIO6,gpio_io,17)",,,,,,,,,"SAI1_RX_BCLK(SAI1,sai_rx_bclk)/SAI2_RX_BCLK(SAI2,sai_rx_bclk)",,"FLEXTIMER2_PHA(FTM2,flextimer_pha)",,"I2C4_SDA(I2C4,i2c_sda)",,,,"SRC_CA7_RESET1_B(SRC,src_ca7_reset1_b)",,,,"NAND_CE3_B(NAND,nand_ce3_b)",,,,,,,,,,,,"MQS_LEFT(MQS,mqs_left)",,"NAND_CE3_B(NAND,nand_ce3_b)"
AB7,ADC1_IN0,,X1A33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ADC1_IN0(ADC1,adc_in0)",,,,,,"ADC1_IN0(ADC1,adc_in0)"
AC7,ADC1_IN1,,X1A34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ADC1_IN1(ADC1,adc_in1)",,,,,,"ADC1_IN1(ADC1,adc_in1)"
AD7,ADC1_IN2,,X1A35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ADC1_IN2(ADC1,adc_in2)",,,,,,"ADC1_IN2(ADC1,adc_in2)"
AD9,ADC1_IN3,,X1A36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"ADC1_IN3(ADC1,adc_in3)",,,,,,"ADC1_IN3(ADC1,adc_in3)"
J27,EPDC1_PWRCOM,,X1A38,"GPIO2_IO30(GPIO2,gpio_io,30)",,,"LCD_HSYNC(ELCDIF,lcd_hsync)/LCD_DATA11(ELCDIF,lcd_data,11)","EPDC_PWR_COM(EPDC,epdc_pwr_com)","EIM_AD09(EIM,eim_ad,09)",,"ENET2_CRS(ENET2,enet_crs)",,,,"FLEXTIMER2_PHA(FTM2,flextimer_pha)",,,,,,,,,,,,,,,,,,,,,,,,"GPIO2_IO30(GPIO2,gpio_io,30)"
N25,EPDC1_DATA10,,X1A39,"GPIO2_IO10(GPIO2,gpio_io,10)",,"UART6_RTS_B(UART6,uart_rts_b)","LCD_DATA10(ELCDIF,lcd_data,10)/LCD_DATA09(ELCDIF,lcd_data,09)","EPDC_DATA10(EPDC,epdc_data,10)/EPDC_SDOE(EPDC,epdc_sdoe)","EIM_CS0(EIM,eim_cs,0)",,,,,,,,,"SIM1_PORT1_RST_B(SIM1,sim_port1_rst_b)",,,,,,,,"QSPI_B_DATA2(QSPI,qspi_b_data,2)",,,,,,,,,,,,,"GPIO2_IO10(GPIO2,gpio_io,10)"
T5,I2C4_SCL,,X1A40,"GPIO4_IO14(GPIO4,gpio_io,14)",,"UART5_RX_DATA(UART5,uart_rx_data)",,"EPDC_VCOM0(EPDC,epdc_vcom,0)",,,,,,"CSI_PIXCLK(CSI,csi_pixclk)",,,"I2C4_SCL(I2C4,i2c_scl)",,,"USB_OTG1_ID(USB,usb_otg1_id)",,,,,,,,"WDOG4_B(WDOG4,wdog_b)",,,,,,,,,,,"I2C4_SCL(I2C4,i2c_scl)"
T4,I2C4_SDA,,X1A41,"GPIO4_IO15(GPIO4,gpio_io,15)",,"UART5_TX_DATA(UART5,uart_tx_data)",,"EPDC_VCOM1(EPDC,epdc_vcom,1)",,,,,,"CSI_MCLK(CSI,csi_mclk)",,,"I2C4_SDA(I2C4,i2c_sda)",,,"USB_OTG2_ID(USB,usb_otg2_id)",,,,,,,,"WDOG4_RESET_B_DEB(WDOG4,wdog_reset_b_deb)",,,,,,,,,,,"I2C4_SDA(I2C4,i2c_sda)"
N24,EPDC1_DATA11,,X1A42,"GPIO2_IO11(GPIO2,gpio_io,11)",,"UART6_CTS_B(UART6,uart_cts_b)","LCD_DATA11(ELCDIF,lcd_data,11)/LCD_DATA01(ELCDIF,lcd_data,01)","EPDC_DATA11(EPDC,epdc_data,11)/EPDC_SDCE0(EPDC,epdc_sdce,0)","EIM_BCLK(EIM,eim_bclk)",,,,,,,,,"SIM1_PORT1_SVEN(SIM1,sim_port1_sven)",,,,,,,,"QSPI_B_DATA3(QSPI,qspi_b_data,3)",,,,,,,,,,,,,"GPIO2_IO11(GPIO2,gpio_io,11)"
Y6,GPIO1_IO03,,X1A43,"GPIO1_IO03(GPIO1,gpio_io,03)",,,,,,,,,"SAI3_MCLK(SAI3,sai_mclk)",,,,,,"CCM_ENET_REF_CLK2(CCM,ccm_enet_ref_clk,2)/CCM_CLKO2(CCM,ccm_clko,2)","USB_OTG2_ID(USB,usb_otg2_id)",,,,,,,"PWM3_OUT(PWM3,pwm_out)",,,,,,,,,,,,"PWM3_OUT(PWM3,pwm_out)"
C2,SD1_RESET_B,,X1A45,"GPIO5_IO02(GPIO5,gpio_io,02)",,"UART6_RTS_B(UART6,uart_rts_b)",,,,"SD1_RESET_B(uSDHC1,sd_reset_b)",,"ECSPI4_SCLK(ECSPI4,ecspi_sclk)","SAI3_MCLK(SAI3,sai_mclk)",,"FLEXTIMER1_CH2(FTM1,flextimer_ch,2)",,,,,,,,,,,,,,,,,,,,,,,,"SD1_RESET_B(uSDHC1,sd_reset_b)"
A5,SD1_CD_B,,X1A46,"GPIO5_IO00(GPIO5,gpio_io,00)",,"UART6_RX_DATA(UART6,uart_rx_data)",,,,"SD1_CD_B(uSDHC1,sd_cd_b)",,"ECSPI4_MISO(ECSPI4,ecspi_miso)",,,"FLEXTIMER1_CH0(FTM1,flextimer_ch,0)",,,,"CCM_CLKO1(CCM,ccm_clko,1)",,,,,,,,,,,,,,,,,,,,"SD1_CD_B(uSDHC1,sd_cd_b)"
D2,SD1_WP,,X1A47,"GPIO5_IO01(GPIO5,gpio_io,01)",,"UART6_TX_DATA(UART6,uart_tx_data)",,,,"SD1_WP(uSDHC1,sd_wp)",,"ECSPI4_MOSI(ECSPI4,ecspi_mosi)",,,"FLEXTIMER1_CH1(FTM1,flextimer_ch,1)",,,,"CCM_CLKO2(CCM,ccm_clko,2)",,,,,,,,,,,,,,,,,,,,"SD1_WP(uSDHC1,sd_wp)"
B3,SD1_CLK,,X1A48,"GPIO5_IO03(GPIO5,gpio_io,03)",,"UART6_CTS_B(UART6,uart_cts_b)",,,,"SD1_CLK(uSDHC1,sd_clk)",,"ECSPI4_SS0(ECSPI4,ecspi_ss,0)","SAI3_RX_SYNC(SAI3,sai_rx_sync)",,"FLEXTIMER1_CH3(FTM1,flextimer_ch,3)",,,,,,,,,,,,,,,,,,,,,,,,"SD1_CLK(uSDHC1,sd_clk)"
A2,SD1_CMD,,X1A49,"GPIO5_IO04(GPIO5,gpio_io,04)",,,,,,"SD1_CMD(uSDHC1,sd_cmd)",,"ECSPI4_SS1(ECSPI4,ecspi_ss,1)","SAI3_RX_BCLK(SAI3,sai_rx_bclk)",,"FLEXTIMER2_CH0(FTM2,flextimer_ch,0)",,,,,,,,,,,,,,,,,,,,,,,,"SD1_CMD(uSDHC1,sd_cmd)"
B4,SD1_DATA0,,X1A51,"GPIO5_IO05(GPIO5,gpio_io,05)",,"UART7_RX_DATA(UART7,uart_rx_data)",,,,"SD1_DATA0(uSDHC1,sd_data,0)",,"ECSPI4_SS2(ECSPI4,ecspi_ss,2)","SAI3_RX_DATA(SAI3,sai_rx_data)",,"FLEXTIMER2_CH1(FTM2,flextimer_ch,1)",,,,"CCM_EXT_CLK1(CCM,ccm_ext_clk,1)",,,,,,,,,,,,,,,,,,,,"SD1_DATA0(uSDHC1,sd_data,0)"
A4,SD1_DATA1,,X1A52,"GPIO5_IO06(GPIO5,gpio_io,06)",,"UART7_TX_DATA(UART7,uart_tx_data)",,,,"SD1_DATA1(uSDHC1,sd_data,1)",,"ECSPI4_SS3(ECSPI4,ecspi_ss,3)","SAI3_TX_BCLK(SAI3,sai_tx_bclk)",,"FLEXTIMER2_CH2(FTM2,flextimer_ch,2)",,,,"CCM_EXT_CLK2(CCM,ccm_ext_clk,2)",,,,,,,,,,,,,,,,,,,,"SD1_DATA1(uSDHC1,sd_data,1)"
B2,SD1_DATA2,,X1A53,"GPIO5_IO07(GPIO5,gpio_io,07)",,"UART7_CTS_B(UART7,uart_cts_b)",,,,"SD1_DATA2(uSDHC1,sd_data,2)",,"ECSPI4_RDY(ECSPI4,ecspi_rdy)","SAI3_TX_SYNC(SAI3,sai_tx_sync)",,"FLEXTIMER2_CH3(FTM2,flextimer_ch,3)",,,,"CCM_EXT_CLK3(CCM,ccm_ext_clk,3)",,,,,,,,,,,,,,,,,,,,"SD1_DATA2(uSDHC1,sd_data,2)"
B1,SD1_DATA3,,X1A54,"GPIO5_IO08(GPIO5,gpio_io,08)",,"UART7_RTS_B(UART7,uart_rts_b)",,,,"SD1_DATA3(uSDHC1,sd_data,3)",,"ECSPI3_SS1(ECSPI3,ecspi_ss,1)","SAI3_TX_DATA(SAI3,sai_tx_data)",,"FLEXTIMER1_PHA(FTM1,flextimer_pha)",,,,"CCM_EXT_CLK4(CCM,ccm_ext_clk,4)",,,,,,,,,,,,,,,,,,,,"SD1_DATA3(uSDHC1,sd_data,3)"
M26,EPDC1_DATA12,,X1B1,"GPIO2_IO12(GPIO2,gpio_io,12)",,"UART7_RX_DATA(UART7,uart_rx_data)","LCD_DATA12(ELCDIF,lcd_data,12)/LCD_DATA21(ELCDIF,lcd_data,21)","EPDC_DATA12(EPDC,epdc_data,12)/EPDC_GDCLK(EPDC,epdc_gdclk)","EIM_LBA_B(EIM,eim_lba_b)",,,,,,,,,"SIM1_PORT1_PD(SIM1,sim_port1_pd)",,,,,,,,"QSPI_B_DQS(QSPI,qspi_b_dqs)",,,,,,,,,,,,,"GPIO2_IO12(GPIO2,gpio_io,12)"
L26,EPDC1_DATA13,,X1B2,"GPIO2_IO13(GPIO2,gpio_io,13)",,"UART7_TX_DATA(UART7,uart_tx_data)","LCD_DATA13(ELCDIF,lcd_data,13)/LCD_CS(ELCDIF,lcd_cs)","EPDC_DATA13(EPDC,epdc_data,13)/EPDC_GDOE(EPDC,epdc_gdoe)","EIM_WAIT(EIM,eim_wait)",,,,,,,,,"SIM2_PORT1_TRXD(SIM2,sim_port1_trxd)",,,,,,,,"QSPI_B_SCLK(QSPI,qspi_b_sclk)",,,,,,,,,,,,,"GPIO2_IO13(GPIO2,gpio_io,13)"
L25,EPDC1_DATA14,,X1B3,"GPIO2_IO14(GPIO2,gpio_io,14)",,"UART7_RTS_B(UART7,uart_rts_b)","LCD_DATA14(ELCDIF,lcd_data,14)/LCD_DATA22(ELCDIF,lcd_data,22)","EPDC_DATA14(EPDC,epdc_data,14)/EPDC_GDSP(EPDC,epdc_gdsp)","EIM_EB0(EIM,eim_eb,0)",,,,,,,,,"SIM2_PORT1_CLK(SIM2,sim_port1_clk)",,,,,,,,"QSPI_B_SS0_B(QSPI,qspi_b_ss0_b)",,,,,,,,,,,,,"GPIO2_IO14(GPIO2,gpio_io,14)"
N22,EPDC1_DATA15,,X1B4,"GPIO2_IO15(GPIO2,gpio_io,15)",,"UART7_CTS_B(UART7,uart_cts_b)","LCD_DATA15(ELCDIF,lcd_data,15)/LCD_WR_RWN(ELCDIF,lcd_wr_rwn)","EPDC_DATA15(EPDC,epdc_data,15)/EPDC_PWR_COM(EPDC,epdc_pwr_com)","EIM_CS1(EIM,eim_cs,1)",,,,,,,,,"SIM2_PORT1_RST_B(SIM2,sim_port1_rst_b)",,,,,,,,"QSPI_B_SS1_B(QSPI,qspi_b_ss1_b)",,,,,,,,,,,,,"GPIO2_IO15(GPIO2,gpio_io,15)"
AD13,ONOFF,,X1B6,,,,,,,,,,,,,,,,,,,,,,,,,,,"ONOFF(XTALOSC,onoff)",,,,,,,,,"ONOFF(XTALOSC,onoff)"
Y3,POR_B,,X1B9,,,,,,,,,,,,,,,,,,"SRC_POR_B(SRC,src_por_b)",,,,,,,,,,,,,,,,,,"SRC_POR_B(SRC,src_por_b)"
AB4,GPIO1_IO09,,X1B11,"GPIO1_IO09(GPIO1,gpio_io,09)",,"UART3_TX_DATA(UART3,uart_tx_data)",,,,"SD1_LCTL(uSDHC1,sd_lctl)",,,,,,"KEY_ROW5(KPP,key_row,5)","I2C3_SDA(I2C3,i2c_sda)",,"CCM_ENET_REF_CLK3(CCM,ccm_enet_ref_clk,3)/CCM_PMIC_READY(CCM,ccm_pmic_ready)",,,,,,,,"PWM2_OUT(PWM2,pwm_out)",,,,,,,,,,,,"GPIO1_IO09(GPIO1,gpio_io,09)"
AC9,SNVS_TAMPER02,,X1B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SNVS_TAMPER2(SNVS,tamper,2)",,,,,,,,"SNVS_TAMPER2(SNVS,tamper,2)"
T1,UART1_RXD,,X1B15,"GPIO4_IO00(GPIO4,gpio_io,00)",,"UART1_RX_DATA(UART1,uart_rx_data)",,,,,"ENET2_1588_EVENT0_IN(ENET2,enet_1588_event0_in)/ENET1_MDIO(ENET1,enet_mdio)","ECSPI1_SS1(ECSPI1,ecspi_ss,1)",,,,,"I2C1_SCL(I2C1,i2c_scl)",,"CCM_PMIC_READY(CCM,ccm_pmic_ready)",,,,,,,,,,,,,,,,,,,,"UART1_RX_DATA(UART1,uart_rx_data)"
V1,UART1_TXD,,X1B16,"GPIO4_IO01(GPIO4,gpio_io,01)",,"UART1_TX_DATA(UART1,uart_tx_data)",,,,,"ENET2_1588_EVENT0_OUT(ENET2,enet_1588_event0_out)/ENET1_MDC(ENET1,enet_mdc)","ECSPI1_SS2(ECSPI1,ecspi_ss,2)","SAI3_MCLK(SAI3,sai_mclk)",,,,"I2C1_SDA(I2C1,i2c_sda)",,,,,,,,,,,,,,,,,,,,,,"UART1_TX_DATA(UART1,uart_tx_data)"
T2,UART2_RXD,,X1B17,"GPIO4_IO02(GPIO4,gpio_io,02)",,"UART2_RX_DATA(UART2,uart_rx_data)",,,,,"ENET2_1588_EVENT1_IN(ENET2,enet_1588_event1_in)/ENET2_MDIO(ENET2,enet_mdio)","ECSPI1_SS3(ECSPI1,ecspi_ss,3)","SAI3_RX_BCLK(SAI3,sai_rx_bclk)",,,,"I2C2_SCL(I2C2,i2c_scl)",,,,,,,,,,,,,,,,,,,,,,"UART2_RX_DATA(UART2,uart_rx_data)"
T3,UART2_TXD,,X1B18,"GPIO4_IO03(GPIO4,gpio_io,03)",,"UART2_TX_DATA(UART2,uart_tx_data)",,,,,"ENET2_1588_EVENT1_OUT(ENET2,enet_1588_event1_out)/ENET2_MDC(ENET2,enet_mdc)","ECSPI1_RDY(ECSPI1,ecspi_rdy)","SAI3_RX_DATA(SAI3,sai_rx_data)",,,,"I2C2_SDA(I2C2,i2c_sda)",,,,,,,,,,,,,,,,,,,,,,"UART2_TX_DATA(UART2,uart_tx_data)"
V2,UART3_RXD,,X1B19,"GPIO4_IO04(GPIO4,gpio_io,04)",,"UART3_RX_DATA(UART3,uart_rx_data)",,,,"SD1_LCTL(uSDHC1,sd_lctl)","ENET1_1588_EVENT0_IN(ENET1,enet_1588_event0_in)","ECSPI1_MISO(ECSPI1,ecspi_miso)","SAI3_RX_SYNC(SAI3,sai_rx_sync)",,,,,,,"USB_OTG1_OC(USB,usb_otg1_oc)",,,,,,,,,,,,,,,,,,,"UART3_RX_DATA(UART3,uart_rx_data)"
