#,Peripheral,Signal,Route to,Label,Identifier,Power group,Direction,Software Input On Field,Hysteresis Enable Field,Pull Up / Down Config. Field,Pull / Keep Select Field,Pull / Keep Enable Field,Open Drain Enable Field,Speed Field,Drive Strength Field,Slew Rate Field,DDR Select Field,DDR / CMOS Input Mode Field,On Die Termination Field,do_trim Field,do_trim_padn Field
B1,uSDHC1,"usdhc_data, 2",SD1_DATA2,phyCORE X1 pin 10,n/a,NVCC_SD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A2,uSDHC1,"usdhc_data, 3",SD1_DATA3,phyCORE X1 pin 11,n/a,NVCC_SD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
K17,ENET1,enet_mdio,GPIO1_IO06,phyCORE X1 pin 18,n/a,NVCC_GPIO (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
L16,ENET1,enet_mdc,GPIO1_IO07,phyCORE X1 pin 19,n/a,NVCC_GPIO (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B8,LCDIF,lcdif_enable,LCD_ENABLE,phyCORE X1 pin 20,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A8,LCDIF,lcdif_clk,LCD_CLK,phyCORE X1 pin 21,n/a,NVCC_LCD (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C9,LCDIF,lcdif_vsync,LCD_VSYNC,phyCORE X1 pin 22,n/a,NVCC_LCD (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E9,LCDIF,lcdif_reset,LCD_RESET,phyCORE X1 pin 23,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D9,LCDIF,lcdif_hsync,LCD_HSYNC,phyCORE X1 pin 24,n/a,NVCC_LCD (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B9,LCDIF,"lcdif_data, 0",LCD_DATA00,phyCORE X1 pin 25,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A9,LCDIF,"lcdif_data, 1",LCD_DATA01,phyCORE X1 pin 26,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E10,LCDIF,"lcdif_data, 2",LCD_DATA02,phyCORE X1 pin 27,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D10,LCDIF,"lcdif_data, 3",LCD_DATA03,phyCORE X1 pin 28,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C10,LCDIF,"lcdif_data, 4",LCD_DATA04,phyCORE X1 pin 29,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B10,LCDIF,"lcdif_data, 5",LCD_DATA05,phyCORE X1 pin 30,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A10,LCDIF,"lcdif_data, 6",LCD_DATA06,phyCORE X1 pin 31,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D11,LCDIF,"lcdif_data, 7",LCD_DATA07,phyCORE X1 pin 33,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B11,LCDIF,"lcdif_data, 8",LCD_DATA08,phyCORE X1 pin 34,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A11,LCDIF,"lcdif_data, 9",LCD_DATA09,phyCORE X1 pin 35,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E12,LCDIF,"lcdif_data, 10",LCD_DATA10,phyCORE X1 pin 36,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D12,LCDIF,"lcdif_data, 11",LCD_DATA11,phyCORE X1 pin 37,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C12,LCDIF,"lcdif_data, 12",LCD_DATA12,phyCORE X1 pin 38,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B12,LCDIF,"lcdif_data, 13",LCD_DATA13,phyCORE X1 pin 39,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A12,LCDIF,"lcdif_data, 14",LCD_DATA14,phyCORE X1 pin 40,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D13,LCDIF,"lcdif_data, 15",LCD_DATA15,phyCORE X1 pin 41,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C13,LCDIF,"lcdif_data, 16",LCD_DATA16,phyCORE X1 pin 42,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B13,LCDIF,"lcdif_data, 17",LCD_DATA17,phyCORE X1 pin 43,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A13,LCDIF,"lcdif_data, 18",LCD_DATA18,phyCORE X1 pin 44,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D14,LCDIF,"lcdif_data, 19",LCD_DATA19,phyCORE X1 pin 45,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C14,LCDIF,"lcdif_data, 20",LCD_DATA20,phyCORE X1 pin 46,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B14,LCDIF,"lcdif_data, 21",LCD_DATA21,phyCORE X1 pin 47,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A14,LCDIF,"lcdif_data, 22",LCD_DATA22,phyCORE X1 pin 48,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B16,LCDIF,"lcdif_data, 23",LCD_DATA23,phyCORE X1 pin 49,n/a,NVCC_LCD (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
E6,CSI,csi_field,NAND_DQS,phyCORE X1 pin 50,n/a,NVCC_NAND (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
R6,GPIO5,"gpio_io, 9",SNVS_TAMPER9,phyCORE X1 pin 51,n/a,VDD_SNVS_IN (3.3V),Input/Output,n/a,0b1: Enabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A15,ENET2,"enet_tdata, 0",ENET2_TX_DATA0,phyCORE X1 pin 52,n/a,NVCC_ENET (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
A16,ENET2,"enet_tdata, 1",ENET2_TX_DATA1,phyCORE X1 pin 53,n/a,NVCC_ENET (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B15,ENET2,enet_tx_en,ENET2_TX_EN,phyCORE X1 pin 54,n/a,NVCC_ENET (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D17,ENET2,enet_tx_clk,ENET2_TX_CLK,phyCORE X1 pin 55,n/a,NVCC_ENET (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C17,ENET2,"enet_rdata, 0",ENET2_RX_DATA0,phyCORE X1 pin 56,n/a,NVCC_ENET (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
C16,ENET2,"enet_rdata, 1",ENET2_RX_DATA1,phyCORE X1 pin 57,n/a,NVCC_ENET (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
D16,ENET2,enet_rx_er,ENET2_RX_ER,phyCORE X1 pin 58,n/a,NVCC_ENET (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
B17,ENET2,enet_rx_en,ENET2_RX_EN,phyCORE X1 pin 59,n/a,NVCC_ENET (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
G17,I2C1,i2c_scl,UART4_TX_DATA,phyCORE X1 pin 60,n/a,NVCC_UART (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
G16,I2C1,i2c_sda,UART4_RX_DATA,phyCORE X1 pin 61,n/a,NVCC_UART (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
F17,UART5,uart_tx,UART5_TX_DATA,phyCORE X1 pin 63,n/a,NVCC_UART (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
G13,UART5,uart_rx,UART5_RX_DATA,phyCORE X1 pin 64,n/a,NVCC_UART (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
N17,UART5,uart_rts_b,GPIO1_IO08,phyCORE X1 pin 74,n/a,NVCC_GPIO (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
M15,UART5,uart_cts_b,GPIO1_IO09,phyCORE X1 pin 75,n/a,NVCC_GPIO (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
M17,USB,usb_otg2_id,GPIO1_IO05,phyCORE X1 pin 76,n/a,NVCC_GPIO (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
M16,PWM3,pwm_out,GPIO1_IO04,phyCORE X1 pin 77,n/a,NVCC_GPIO (3.3V),Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
L17,GPIO1,"gpio_io, 3",GPIO1_IO03,phyCORE X1 pin 78,n/a,NVCC_GPIO (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
R9,GPIO5,"gpio_io, 1",SNVS_TAMPER1,phyCORE X1 pin 87,n/a,VDD_SNVS_IN (3.3V),Input/Output,n/a,0b1: Enabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
R10,GPIO5,"gpio_io, 0",SNVS_TAMPER0,phyCORE X1 pin 88,n/a,VDD_SNVS_IN (3.3V),Input/Output,n/a,0b1: Enabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
N8,GPIO5,"gpio_io, 5",SNVS_TAMPER5,phyCORE X1 pin 95,n/a,VDD_SNVS_IN (3.3V),Input/Output,n/a,0b1: Enabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
L15,GPIO1,"gpio_io, 1",GPIO1_IO01,phyCORE X1 pin 96,n/a,NVCC_GPIO (3.3V),Input/Output,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
K13,USB,usb_otg1_id,GPIO1_IO00,phyCORE X1 pin 97,n/a,NVCC_GPIO (3.3V),Input,0b0: Disabled,0b0: Disabled,0b00: 100K Ohm Pull Down,0b0: Keep,0b1: Enabled,0b0: Disabled,0b10: Medium (100 MHz),0b110: R0/6,0b0: Slow,n/a,n/a,n/a,n/a,n/a
P8,SRC,src_por_b,POR_B,phyCORE X1 pin 98,n/a,VDD_SNVS_IN (3.3V),Input,n/a,0b1: Enabled,0b10: 100K Ohm Pull Up,0b1: Pull,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
R8,SRC,src_onoff,ONOFF,phyCORE X1 pin 99,n/a,VDD_SNVS_IN (3.3V),Input,n/a,0b1: Enabled,0b10: 100K Ohm Pull Up,0b1: Pull,0b1: Enabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
T9,SNVS,snvs_lp_wrapper_pmic_on_req,SNVS_PMIC_ON_REQ,phyCORE X1 pin 101,n/a,VDD_SNVS_IN (3.3V),Input,n/a,0b0: Disabled,0b10: 100K Ohm Pull Up,0b1: Pull,0b1: Enabled,0b1: Enabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
U9,CCM,ccm_pmic_stby_req,CCM_PMIC_STBY_REQ,phyCORE X1 pin 102,n/a,VDD_SNVS_IN (3.3V),Input,n/a,0b0: Disabled,0b00: 100K Ohm Pull Down,0b1: Pull,0b0: Disabled,0b0: Disabled,n/a,0b100: R0/4,0b0: Slow,n/a,n/a,n/a,n/a,n/a
